mbti,song,singer
ENFP,Gimme! Gimme! Gimme! (A Man After Midnight),ABBA
ENFP,제자리 걸음 (Starry Night),NCT DREAM
ENFP,SOS,NCT DREAM
ENFP,Dear DREAM,NCT DREAM
ENFP,파랑 (Blue Wave),NCT DREAM
ENFP,Any,Stray Kids
ENFP,1 To 10,TWICE
ENFP,CROWN,투모로우바이투게더
ENFP,What is Love,TWICE
ENFP,Nan and Pop's House,Michael Day
ENFP,Feels Like We Only Go Backwards,Tame Impala
ENFP,Empty Now,HOLYSEA
ENFP,TRAP,smouldr
ENFP,Dark Beach,Pastel Ghost
ENFP,Scar Tissue,Red Hot Chili Peppers
ENFP,Notion,The Rare Occasions
ENFP,All The Things She Said,t.A.T.u.
ENFP,Stumblin' In,"Chris Norman, Suzi Quatro"
ENFP,Life on Mars? - 2015 Remaster,David Bowie
ENFP,No Complaints,Noah Kahan
ENFP,Heroes - 2017 Remaster,David Bowie
ENFP,OMG,NewJeans
ENFP,HOME,방탄소년단
ENFP,U+Me=LOVE,7 LOVE Minutes
ENFP,Rookie,Red Velvet
ENFP,Skool,San Cisco
ENFP,You Are the Right One,Sports
ENFP,São Paulo,Vincent Mango
ENFP,Who Am I,Vance Joy
ENFP,Melody - Live Version,NINGNING
ENFP,Password 486,윤하
ENFP,In the morning,ITZY
ENFP,Drama - Sped Up Version,aespa
ENFP,distracted tbh,untermholz
ENFP,streaming dreams,vinyl prince
ENFP,waves of joy,dogbeliever
ENFP,it's slowly becoming too much,untermholz
ENFP,日常革命,neguse.
ENFP,ocean eyes,Billie Eilish
ENFP,有心論,RADWIMPS
ENFP,恋風邪にのせて,Vaundy
ENFP,Смерти Больше Нет,IC3PEAK
ENFP,Mirándote,Rvfv
ENFP,eyes don't lie,Isabel LaRosa
ENFP,the remedy for a broken heart (why am I so in love),XXXTENTACION
ENFP,O.O,NMIXX
ENFP,Rainy Days,V
ENFP,SOLO - KR Ver.,제니
ENFP,Epiphany,방탄소년단
ENFP,Dreamcore,Pathetic
ENFP,Démons - live orchestral,"Angèle, Damso"
ENFP,Monster Truck,"Jazmin Bean, Zheani"
ENFP,You'll miss me when I'm not around,Grimes
ENFP,Ice Cream,이준호
ENFP,Fighting (Feat. Lee Young Ji),"부석순, 이영지"
ENFP,The Boys,소녀시대
ENFP,Do Something,Macy Gray
ENFP,The Race,Chris James
ENFP,Just Friends,Why Don't We
ENFP,Cream Soda,EXO
ENFP,Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,"The Weeknd, Playboi Carti, Madonna"
ENFP,Static on the Radio,"Jim White, Aimee Mann, M. Ward, Joe Henry"
ENFP,"A Dramatic Irony (From ""Honkai: Star Rail"") - Kafka Theme",tnbee
ENFP,Territorial Pissings,Nirvana
ENFP,My Desire,Interpol
ENFP,四季予你,程響
ENFP,一首歌-Sped up,"婁峻碩, Patrick Brasca"
ENFP,Memories,Maroon 5
ENFP,Chillin' Like a Villain,"Sofia Carson, Cameron Boyce, Booboo Stewart, Mitchell Hope,"
ENFP,Six Below,flipturn
ENFP,(She's) Just a Phase,Puma Blue
ENFP,Let Her Go,Mac DeMarco
ENFP,Misery Business,Paramore
ENFP,通り恋,indigo la End
ENFP,ふたたびの、雨,RADWIMPS
ENFP,ひまわりの約束,Motohiro Hata
ENFP,虹,SUDA MASAKI
ENTP,My Ordinary Life,The Living Tombstone
ENTP,Do I Wanna Know?,Arctic Monkeys
ENTP,Laplace’s Angel (Hurt People? Hurt People!),Will Wood
ENTP,Need to Know,Doja Cat
ENTP,"Dear Maria, Count Me In",All Time Low
ENTP,212,"Azealia Banks, Lazy Jay"
ENTP,Radar,Britney Spears
ENTP,Verbatim,Mother Mother
ENTP,Crazy = Genius,Panic! At The Disco
ENTP,hot girl bummer,blackbear
ENTP,Swim,Chase Atlantic
ENTP,The Real Slim Shady,Eminem
ENTP,Bloody Mary,Lady Gaga
ENTP,My Alcoholic Friends,The Dresden Dolls
ENTP,parents,YUNGBLUD
ENTP,Oh No!,MARINA
ENTP,Nowhere To Run,Stegosaurus Rex
ENTP,How to Be a Heartbreaker,MARINA
ENTP,Everybody Loves Me,OneRepublic
ENTP,Rasputin - Single Version,Boney M.
ENTP,Circus,Britney Spears
ENTP,Laughing on the Outside,Bernadette Carroll
ENTP,Chicago,Michael Jackson
ENTP,Stressed Out,Twenty One Pilots
ENTP,The Mystic,Adam Jensen
ENTP,Baby Hotline,Jack Stauber's Micropop
ENTP,Choke,I DONT KNOW HOW BUT THEY FOUND ME
ENTP,Under The Influence,"Eminem, D12"
ENTP,Gangsta,Kehlani
ENTP,Rehab,Amy Winehouse
ENTP,Little Dark Age,MGMT
ENTP,Mind brand,Maretu
ENTP,Dragula,Rob Zombie
ENTP,Doctor Doctor,YUNGBLUD
ENTP,Daddy,Die Antwoord
ENTP,American Trash,Innerpartysystem
ENTP,River,Bishop Briggs
ENTP,MANIC,COBRAH
ENTP,STUPID (feat. Yung Baby Tate),"Ashnikko, Baby Tate"
ENTP,Daddy AF - Wuki Remix,"Slayyyter, Wuki"
ENTP,All For Us,"Labrinth, Zendaya"
ENTP,No Mercy (feat. BlackGryph0n & LittleJayneyCakes),"The Living Tombstone, Black Gryph0n, LittleJayneyCakes"
ENTP,I’m Tired (with Zendaya) - Bonus Track,"Labrinth, Zendaya"
ENTP,Bubblegum Bitch,MARINA
ENTP,Wake Up,Cheese People
ENTP,Dirty Mind,3OH!3
ENTP,Lotta True Crime,Penelope Scott
ENTP,Black Widow,"Iggy Azalea, Rita Ora"
ENTP,The Bends,Radiohead
ENTP,Crystal Days,Echo & the Bunnymen
ENTP,High and Dry,Radiohead
ENTP,Just,Radiohead
ENTP,trees next to the river,vinyl prince
ENTP,run into the sunset,cookie
ENTP,Dreams,Coldgray
ENTP,there's light at the end of the tunnel (it's probably a train),infp mfer
ENTP,Brass Goggles,Steam Powered Giraffe
ENTP,Sex with a Ghost,Teddy Hyde
ENTP,I / Me / Myself,Will Wood
ENTP,Hey Baby - Speed,ROEINON
ENTP,PARTY!,"cade clair, cW"
ENTP,Easy,CRO
ENTP,i kissed a girl <3,"offaflat, WASTY"
ENTP,UDNTHAVE2KNOW,Marluxiam
ENTP,bad idea!,girl in red
ENTP,Why Do You Love Me,Charlotte Lawrence
ENTP,Shut Up Kiss Me,Angel Olsen
ENTP,Doin' Time,Lana Del Rey
ENTP,Under My Skin,Jukebox The Ghost
ENTP,Mastermind,Mindless Self Indulgence
ENTP,beetlejuicebeetlejuicebeetlejuice,Life After Youth
ENTP,I Wanna Be Yours,Arctic Monkeys
ENTP,Hands up!,"6arelyhuman, kets4eki, Pixel Hood"
ENTP,Meddle About,Chase Atlantic
ENTP,LOOK DON’T TOUCH (w/ cade clair),"Odetari, cade clair"
ENTP,Pumped Up Kicks,Foster The People
ENTP,Won't Bite (feat. Smino),"Doja Cat, Smino"
ENTP,Bi Wife Energy,Cringe and the Lizards
ENTP,Bitches,Mindless Self Indulgence
ENTP,stupid horse,"100 gecs, Laura Les, Dylan Brady"
ENTP,Blood // Water,grandson
ENTP,Final Day,Tokio Hotel
ENTP,Me Voy,Julieta Venegas
ENTP,Ain't Shit,Doja Cat
ENTP,Divine,hélix
ENTP,Intermission,Strawberry Guy
ENTP,Need 2,Pinegrove
ENTP,Closer,Nine Inch Nails
ENTP,Taunt,Lovejoy
ENTP,Hayloft II,Mother Mother
ENTP,Lone Digger,Caravan Palace
ENTP,Problems,Mother Mother
ENTP,Remember Summer Days (Night Tempo Showa Groove Mix),"Night Tempo, Anri"
ENTP,Cry For Me,HUNNY
ENTP,Howl's Moving Castle - Merry Go Round Of Life - Main Theme,Geek Music
ENTP,We Are The People,Empire of the Sun
ENTP,ANUBIS,"KUTE, RAIZHELL"
ENTP,Hotel,Montell Fish
ENTP,No Love,АДЛИН
ENTP,"Sex, Drugs, Etc.",Beach Weather
ESTJ,Only Girl (In The World),Rihanna
ESTJ,Confident,Demi Lovato
ESTJ,all the good girls go to hell,Billie Eilish
ESTJ,The Real Slim Shady,Eminem
ESTJ,Adios,EVERGLOW
ESTJ,Work Bitch,Britney Spears
ESTJ,Spine Breaker,방탄소년단
ESTJ,Lost One's Weeping,JubyPhonic
ESTJ,fan behavior,Isaac Dunbar
ESTJ,Stronger,Britney Spears
ESTJ,Why Do You Love Me,Charlotte Lawrence
ESTJ,Brutus,The Buttress
ESTJ,She,"Tyler, The Creator, Frank Ocean"
ESTJ,"You're A Mean One, Mr. Grinch","Tyler, The Creator"
ESTJ,Folhetim,Gal Costa
ESTJ,Quando Bate Aquela Saudade,Rubel
ESTJ,Little Black Dress,One Direction
ESTJ,Megan's Piano,Megan Thee Stallion
ESTJ,successful,Ariana Grande
ESTJ,Cyber Sex,Doja Cat
ESTJ,Perfect Night,LE SSERAFIM
ESTJ,Standing Next to You (Usher Remix),"정국, USHER"
ESTJ,Blue Flame (2023 Ver.),LE SSERAFIM
ESTJ,Genie In a Bottle,Christina Aguilera
ESTJ,I Love You Always Forever - Acoustic,Everly Fair
ESTJ,Built to Last,NEFFEX
ESTJ,Tò Te Tí,"Wren Evans, itsnk"
ESTJ,INVITATION (Feat. 개코),"JUNNY, 개코"
ESTJ,Upset (feat. Tommy Richman & FELIX!),"Brent Faiyaz, FELIX!, Tommy Richman"
ESTJ,"327 (feat. Tyler, The Creator & Billie Essco)","Westside Gunn, Joey Bada$$, Tyler, The Creator, Billie Essco"
ESTJ,My Own World,Trevor Spitta
ESTJ,MONACO,Bad Bunny
ESTJ,Chandelier,Will Paquin
ESTJ,Why'd You Only Call Me When You're High?,Arctic Monkeys
ESTJ,Body Of Years,Mother Mother
ESTJ,Good Boy Gone Bad,투모로우바이투게더
ESTJ,しかばねの踊り,Kikuo
ESTJ,I Can't Handle Change,Roar
ESTJ,GUY.exe,Superfruit
ESTJ,Burning Pile,Mother Mother
ESTJ,DontRepeatThisToAnyone,"Istasha, Ethan Ross"
ESTJ,Little Miss Perfect (feat. Joriah Kwamé & Taylor Louderman),"Write Out Loud, Joriah Kwamé, Taylor Louderman"
ESTJ,Achilles Come Down,Gang of Youths
ESTJ,Cash In Cash Out,"Pharrell Williams, 21 Savage, Tyler, The Creator"
ESTJ,Want It Here,Xenia Pax
ESTJ,I AM,IVE
ESTJ,Vroom Vroom,Charli XCX
ESTJ,Limoncello,"OG DAYV, Future"
ESTJ,Ten Feet Tall,"AFROJACK, Wrabel"
ESTJ,Echo (feat. dj-Jo),AmaLee
ESTJ,Wolf in Sheep's Clothing,"Set It Off, William Beckett"
ESTJ,Sorry About Your Parents,Icon For Hire
ESTJ,Big Jet Plane,Angus & Julia Stone
ESTJ,Someone Like You,Adele
ESTJ,4 grabbar,Lee Bloccboy
ESTJ,Lovers Rock,TV Girl
ESTJ,ParadoXXX Invasion,ENHYPEN
ESTJ,Karma,ENHYPEN
ESTJ,7 rings,Ariana Grande
ESTJ,Mockingbird,Eminem
ESTJ,Teenage Dream,Katy Perry
ESTJ,Underwater,CHUU
ESTJ,思覺失調,Wilfred Lau
ESTJ,I'm Old Fashioned,Chet Baker
ESTJ,Where Them Girls At (feat. Nicki Minaj & Flo Rida),"David Guetta, Flo Rida, Nicki Minaj"
ESTJ,Feeling Good,Michael Bublé
ESTJ,hot girl bummer,blackbear
ESTJ,If U Seek Amy,Britney Spears
ESTJ,青と夏,Mrs. GREEN APPLE
ESTJ,魔法が解けたら,Saucy Dog
ESTJ,初恋が泣いている,Aimyon
ESTJ,トリセツ,Kana Nishino
ESTJ,Interlude,Pink Sweat$
ESTJ,No Strings,Ed Sheeran
ESTJ,positions,Ariana Grande
ESTJ,Far Away,ASTN
ESTJ,Shallow,"Lady Gaga, Bradley Cooper"
ESTJ,Diamonds,Rihanna
ESTJ,brutal,Olivia Rodrigo
ESTJ,Meant to be Yours,"Jamie Muscato, Original West End Cast of Heathers"
ESTJ,Hardcore By Nature (Official Titanium Festival 2022 Anthem) - Radio Edit,"Cryogenic, Dimitri K, Major Conspiracy, Tha Watcher"
ESTJ,TURN ON THE LIGHTS (TECHNO),"BASSTON, STRØBE, Tazzy"
ESTJ,TOO HOT,"Sickmode, Rooler"
ESTJ,Herz an Herz,KXXMA
ESTJ,Teen Idle,MARINA
ESTJ,People Watching,Conan Gray
ESTJ,Young And Beautiful,Lana Del Rey
ESTJ,Hakubo – Nightfall [from Naruto Shippuuden],Bird Of Pray
ESTJ,Truth Hits Everybody,The Police
ESTJ,Bills,LunchMoney Lewis
ESTJ,Firework,Katy Perry
ESTJ,Ex's & Oh's,Elle King
ESTJ,Pobre Corazón - En Vivo,"Ke Personajes, Onda Sabanera"
ESTJ,El Amor de Mi Vida,"Los Ángeles Azules, Maria Becerra"
ESTJ,That's Not Fair,NCT U
ESTJ,OJITOS ROJOS,"Grupo Frontera, Ke Personajes"
ESTJ,Letter To The Editor,"Thievery Corporation, Racquel Jones"
ESTJ,Díselo,Chandé
ESTJ,Mon amour,zzoilo
ESTJ,We Don't Need Another Hero (Thunderdome),Tina Turner
ESFJ,On The Ground,ROSÉ
ESFJ,Kill Em With Kindness,Selena Gomez
ESFJ,Livin' On A Prayer,Bon Jovi
ESFJ,The Other Woman,Lana Del Rey
ESFJ,Ring,Selena Gomez
ESFJ,Bite Me,Avril Lavigne
ESFJ,psychofreak (feat. WILLOW),"Camila Cabello, WILLOW"
ESFJ,Me in Her,Sabrina Claudio
ESFJ,Rollin' Rollin',Love Potion
ESFJ,Never Enough,Loren Allred
ESFJ,Answer,Lilas Ikuta
ESFJ,Give Love,AKMU
ESFJ,positions,Ariana Grande
ESFJ,drip,DOLLA
ESFJ,get well soon,Ariana Grande
ESFJ,Kiss It Better,Rihanna
ESFJ,Ditto,NewJeans
ESFJ,Sesame Syrup,Cigarettes After Sex
ESFJ,So High,Doja Cat
ESFJ,MONEY,LISA
ESFJ,Super Freak,Rick James
ESFJ,Popular,The Veronicas
ESFJ,California Gurls,"Katy Perry, Snoop Dogg"
ESFJ,Super Freaky Girl,Nicki Minaj
ESFJ,Off The Record,IVE
ESFJ,Meridian,"Dave, Tiakola"
ESFJ,NO ONE,"이하이, B.I"
ESFJ,MIA,"GEMINI, CAMO, WOODZ"
ESFJ,StaRt,Mrs. GREEN APPLE
ESFJ,10時の方角,sumika
ESFJ,ブルーアンビエンス,"Mrs. GREEN APPLE, asmi"
ESFJ,Just You and I,Namie Amuro
ESFJ,Kota,Dere
ESFJ,Satu-Satu,Idgitaf
ESFJ,perayaan mati rasa,"Umay Shahab, Natania Karin"
ESFJ,Cahaya,Feby Putri
ESFJ,"Sit Still, Look Pretty",Daya
ESFJ,wish you were gay,Billie Eilish
ESFJ,goodnight n go,Ariana Grande
ESFJ,The Truth,Tiffany Howig
ESFJ,Girls Just Want to Have Fun,Cyndi Lauper
ESFJ,Memories,Maroon 5
ESFJ,Love Story (Taylor’s Version),Taylor Swift
ESFJ,Jour 1,Louane
ESFJ,Baked Plum Cake,Brian the Sun
ESFJ,Rapp Snitch Knishes feat. Mr. Fantastik,MF DOOM
ESFJ,ないものねだり - Revenge THE FIRST TAKE,"KANA-BOON, もっさ"
ESFJ,Drop That,EXO
ESFJ,가면무도회,우주소녀
ESFJ,Artificial Love,EXO
ESFJ,Candy Sugar Pop,ASTRO
ESFJ,BREATHE,AB6IX
ESFJ,Out of My League,Fitz and The Tantrums
ESFJ,San Lucas,Kevin Kaarl
ESFJ,Never Be Alone,Shawn Mendes
ESFJ,Daylight,Taylor Swift
ESFJ,Valentine,Laufey
ESFJ,8TEEN,Khalid
ESFJ,Perspective,Cafuné
ESFJ,Cherry Wine,grentperez
ESFJ,Fetish (feat. Gucci Mane),"Selena Gomez, Gucci Mane"
ESFJ,"Mon Soleil - from ""Emily in Paris"" Soundtrack",Ashley Park
ESFJ,Crying in the Club,Camila Cabello
ESFJ,Is Your Love Enough?,Little Mix
ESFJ,Gone,ROSÉ
ESFJ,Young And Beautiful,Lana Del Rey
ESFJ,fever dream,mxmtoon
ESFJ,"I miss you, I’m sorry",Gracie Abrams
ESFJ,いつか,Saucy Dog
ESFJ,I LOVE YOU,Chris Hart
ESFJ,ヒロイン,back number
ESFJ,恋人ごっこ,Macaroni Empitsu
ESFJ,Skyscraper,Demi Lovato
ESFJ,Secret Love Song (feat. Jason Derulo),"Little Mix, Jason Derulo"
ESFJ,Right Now,One Direction
ESFJ,18,One Direction
ESFJ,Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee"
ESFJ,Chinatown,Wild Nothing
ESFJ,4u,blackbear
ESFJ,Speed Drive,Charli XCX
ESFJ,We Don't Talk Anymore (feat. Selena Gomez),"Charlie Puth, Selena Gomez"
ESFJ,Bags,Clairo
ESFJ,C U Girl,Steve Lacy
ESFJ,Otras Se Pierden,Morat
ESFJ,Pockets,Sunset City
ESFJ,All About You,"Madden, Chris Holsten"
ESFJ,Fixed,New Hope Club
ESFJ,Crazy Beautiful,Andy Grammer
ESFJ,Here Comes The Sun - Remastered 2009,The Beatles
ESFJ,More Than A Woman,Bee Gees
ESFJ,Happy,Mitski
ESFJ,305,Shawn Mendes
ESFJ,E.T.,Katy Perry
ESFJ,Good Old-Fashioned Lover Boy - Remastered 2011,Queen
ESFJ,Teacher's Pet,Melanie Martinez
ESFJ,Prom Queen,Beach Bunny
ESFJ,Happy Pills,Weathers
ESFJ,Build a Bitch,Bella Poarch
ESFJ,GUY.exe,Superfruit
ESFJ,Mad at Disney,salem ilese
ENFJ,Strawberry Shortcake,Melanie Martinez
ENFJ,Serendipity - Full Length Edition,방탄소년단
ENFJ,positions,Ariana Grande
ENFJ,Remember My Name,Mitski
ENFJ,Drown,Bring Me The Horizon
ENFJ,Something About You,"Eyedress, Dent May"
ENFJ,prom dress,mxmtoon
ENFJ,Mrs. Potato Head,Melanie Martinez
ENFJ,Moonlight,Kali Uchis
ENFJ,Baby,Madison Beer
ENFJ,girls,girl in red
ENFJ,I Wanna Be Yours,Arctic Monkeys
ENFJ,"Dance, Baby!",boy pablo
ENFJ,Why Do You Feel So Down,Declan McKenna
ENFJ,Bags,Clairo
ENFJ,Revvin' My Cj7,Summer Salt
ENFJ,tolerate it,Taylor Swift
ENFJ,Scott Street,Phoebe Bridgers
ENFJ,Nothing New (feat. Phoebe Bridgers) (Taylor’s Version) (From The Vault),"Taylor Swift, Phoebe Bridgers"
ENFJ,the lakes - bonus track,Taylor Swift
ENFJ,Don’t Let Me Go (feat. 기리보이(GIRIBOY)),"전소미, 기리보이"
ENFJ,Thank u (feat. Yun Seokcheol),"Zion.T, 윤석철"
ENFJ,NOW & FOREVER,MIRAE
ENFJ,버퍼링 (Glitch Mode),NCT DREAM
ENFJ,Daylight,"JAIE, NYK"
ENFJ,butterflies,Denise Julia
ENFJ,妳在哪裡 (WYA),"박재범, NINGNING"
ENFJ,Obvi,JAIE
ENFJ,forever&more,ROLE MODEL
ENFJ,telepatía,Kali Uchis
ENFJ,Crash My Car,COIN
ENFJ,Out of My League,Fitz and The Tantrums
ENFJ,Single Soon,Selena Gomez
ENFJ,Shameless,Camila Cabello
ENFJ,Call Out My Name,The Weeknd
ENFJ,BOLO (feat. YDG),"페노메코, YDG"
ENFJ,Mr. Chu,Apink
ENFJ,Moon,방탄소년단
ENFJ,Louder than bombs,방탄소년단
ENFJ,LOVE DIVE,IVE
ENFJ,My Universe,"Coldplay, 방탄소년단"
ENFJ,This Was a Home Once,Bad Suns
ENFJ,New Map,M83
ENFJ,Out on the Town - Bonus Track,fun.
ENFJ,The Color Violet,Tory Lanez
ENFJ,Friends,Chase Atlantic
ENFJ,To Whom It May Concern,"Ghostemane, Parv0"
ENFJ,Mauern,"LOTTE, Sebastian Fitzek"
ENFJ,Lighthouse - Andrelli Remix,"Hearts & Colors, Andrelli"
ENFJ,Pieces Of Me,Ashlee Simpson
ENFJ,For the First Time,The Script
ENFJ,Heaven in Your Eyes,Loverboy
ENFJ,Put Your Head On My Shoulder,Paul Anka
ENFJ,About Love - From The Netflix Film “To All The Boys: P.S. I Still Love You”,MARINA
ENFJ,You’re Losing Me (From The Vault),Taylor Swift
ENFJ,All of Me,John Legend
ENFJ,魔动闪霸：对手,魔动闪霸
ENFJ,断线,"Shang, lil sophy"
ENFJ,NO 808,"Lil Ghost小鬼, NYK"
ENFJ,无人区玫瑰,"Capper, APEX, LEGGO"
ENFJ,Lover - First Dance Remix,Taylor Swift
ENFJ,Hello Hello,Elton John
ENFJ,A Place in this World,Taylor Swift
ENFJ,Snow On The Beach (feat. More Lana Del Rey),"Taylor Swift, Lana Del Rey"
ENFJ,Statues in the Garden (Arras),Local Natives
ENFJ,Time,"Free Nationals, Mac Miller, Kali Uchis"
ENFJ,Live Well,Palace
ENFJ,Hangover Blues,Amythyst Kiah
ENFJ,Die For You,The Weeknd
ENFJ,Ordinary Superstar,Rina Sawayama
ENFJ,Electra Heart,MARINA
ENFJ,Bubblegum Bitch,MARINA
ENFJ,The Sound,The 1975
ENFJ,Running Up That Hill,MEG MYERS
ENFJ,No Diggity,"Blackstreet, Dr. Dre, Queen Pen"
ENFJ,Slipping Through My Fingers,ABBA
ENFJ,I Want You To Love Me,Fiona Apple
ENFJ,愛して 愛して 愛して,Kikuo
ENFJ,Mr. Perfectly Fine (Taylor’s Version) (From The Vault),Taylor Swift
ENFJ,Shy Away,Twenty One Pilots
ENFJ,Tutu,"Camilo, Pedro Capó"
ENFJ,Margaret (feat. Bleachers),"Lana Del Rey, Bleachers"
ENFJ,Fearless (Taylor’s Version),Taylor Swift
ENFJ,"""Slut!"" (Taylor's Version) (From The Vault)",Taylor Swift
ENFJ,Pictures of Girls,Wallows
ENFJ,Televised,HUNNY
ENFJ,Mr. Brightside,The Killers
ENFJ,Talk Too Much,COIN
ENFJ,Young at Heart,Cyrille Aimee
ENFJ,Boyfriend,Dove Cameron
ENFJ,Big Empty,Stone Temple Pilots
ENFJ,Love Me 4 Me,Rina Sawayama
ENFJ,Cough Syrup,Young the Giant
ENFJ,Hey Lover!,Wabie
ENFJ,Ballroom Extravaganza,DPR IAN
ENFJ,There She Goes,The La's
ENFJ,Blow,Kesha
ENFJ,Bring Me To Life,Evanescence
ENFJ,What Kind Of Man,Florence + The Machine
ENFJ,Monster (Under My Bed),Call Me Karizma
ISTJ,Motion Sickness,Phoebe Bridgers
ISTJ,Bags,Clairo
ISTJ,Cherry Waves,Deftones
ISTJ,As the World Caves In,Matt Maltese
ISTJ,Pretzel (♡),NCT DREAM
ISTJ,Cake,Melanie Martinez
ISTJ,Eat Your Young,Hozier
ISTJ,Sex with a Ghost,Teddy Hyde
ISTJ,Everybody Loves Me,OneRepublic
ISTJ,When I Pray,DOE
ISTJ,Pano,Zack Tabudlo
ISTJ,고맙다,세븐틴
ISTJ,Butterfly,P1Harmony
ISTJ,God's Plan,Drake
ISTJ,Solo,Future
ISTJ,Man On The Moon,Kid Cudi
ISTJ,I Wonder,Kanye West
ISTJ,About You,The 1975
ISTJ,Before The Day Is Over,Joji
ISTJ,Two Ghosts,Harry Styles
ISTJ,Let's All Love Lain,TOKYOPILL
ISTJ,Old Money,Lana Del Rey
ISTJ,Still Sane,Lorde
ISTJ,Of The Night,Bastille
ISTJ,coming of age,mxmtoon
ISTJ,The Archer,Taylor Swift
ISTJ,this is me trying,Taylor Swift
ISTJ,Viva La Vida,Coldplay
ISTJ,RHYTHM TA,iKON
ISTJ,Savage,aespa
ISTJ,Get A Guitar,RIIZE
ISTJ,Ridin',NCT DREAM
ISTJ,Beautiful Stranger,Laufey
ISTJ,Empire Ants (feat. Little Dragon),"Gorillaz, Little Dragon"
ISTJ,Je te laisserai des mots,Patrick Watson
ISTJ,Sleeping Powder,Gorillaz
ISTJ,Double Knot,Stray Kids
ISTJ,Horizon,ATEEZ
ISTJ,HIT,세븐틴
ISTJ,UGH!,방탄소년단
ISTJ,Not You,"Alan Walker, Emma Steinbakken"
ISTJ,Better Things,aespa
ISTJ,Last Nite,The Strokes
ISTJ,Gone,TWICE
ISTJ,One In A Milion,TWICE
ISTJ,ONLY,이하이
ISTJ,Shine With Me,IVE
ISTJ,My Name Is,Eminem
ISTJ,The Bomb,Pigeon John
ISTJ,DANG! (hocus pocus),Billlie
ISTJ,NOBODY,"전소연, 윈터, LIZ (IVE)"
ISTJ,Runaway Baby,Bruno Marz
ISTJ,IDOL,방탄소년단
ISTJ,I CAN'T STOP ME,TWICE
ISTJ,Future Perfect (Pass the MIC),ENHYPEN
ISTJ,From Home,NCT U
ISTJ,Where Is Dream,10cm
ISTJ,ILYSB,LANY
ISTJ,Malibu Nights,LANY
ISTJ,Lose,NIKI
ISTJ,YACHT (k) (Feat. Sik-K),"박재범, 식케이"
ISTJ,Until I Found You (with Em Beihold) - Em Beihold Version,"Stephen Sanchez, Em Beihold"
ISTJ,Infrunami,Steve Lacy
ISTJ,Did you know that there's a tunnel under Ocean Blvd,Lana Del Rey
ISTJ,Borderline,Tame Impala
ISTJ,Lights Are On,Tom Rosenthal
ISTJ,"Paint It, Black - Mono",The Rolling Stones
ISTJ,Blood // Water,grandson
ISTJ,Adios,"Hoody, GRAY"
ISTJ,Sour Grapes,LE SSERAFIM
ISTJ,Into the I-LAND,I-LAND
ISTJ,TFW (That Feeling When),ENHYPEN
ISTJ,Believe,"Paul Blanco, Crush"
ISTJ,More Than Friends,Mokita
ISTJ,So Close,"NOTD, Felix Jaehn, Captain Cuts, Georgia Ku"
ISTJ,Do It,Tuxedo
ISTJ,으르렁 (Growl),EXO
ISTJ,Turn Back Time,WayV
ISTJ,EVERYTHING,검정치마
ISTJ,happier,Olivia Rodrigo
ISTJ,Space Song,Beach House
ISTJ,Notion,The Rare Occasions
ISTJ,My Kind of Woman,Mac DeMarco
ISTJ,Die For You,Joji
ISTJ,Talk Saxy,RIIZE
ISTJ,Kick Back - Korean Version,WayV
ISTJ,秘境 (Kick Back),WayV
ISTJ,Lean on ME,Bill Withers
ISTJ,I Love You So,The Walters
ISTJ,Control,Halsey
ISTJ,Kingdom,HOPE
ISTJ,Black,Kari Kimmel
ISTJ,Love Lee,AKMU
ISTJ,Why So Lonely,원더걸스
ISTJ,LALALALA,Stray Kids
ISTJ,어쩌다 보니,DAY6
ISTJ,2 soon,keshi
ISTJ,24 Hours,Anthony Russo
ISTJ,BOKE,CIKI
ISTJ,主 动,加木
ENTJ,Floor Seats,A$AP Ferg
ENTJ,The Origianl,On The Larceny
ENTJ,After Dark,Mr.Kitty
ENTJ,Uprising,Muse
ENTJ,Don’t Blame Me,Taylor Swift
ENTJ,Okay,Chase Atlantic
ENTJ,CRIME,NORTMIRAGE
ENTJ,Diet Mountain Dew,Lana Del Rey
ENTJ,The Way I Am,Eminem
ENTJ,HUMBLE.,Kendrick Lamar
ENTJ,Applause,Lady Gaga
ENTJ,Doubt,Twenty One Pilots
ENTJ,XO,Beyoncé
ENTJ,Toosie Slide,Drake
ENTJ,brutal,Olivia Rodrigo
ENTJ,Run the World (Girls),Beyoncé
ENTJ,Under Giant Trees,Agnes Obel
ENTJ,Once Upon a December (from Anastasia),Emile Pandolfi
ENTJ,"Cello Suite No. 1 in G Major, BWV 1007: I. Prélude","Johann Sebastian Bach, Yo-Yo Ma"
ENTJ,Experience,"Ludovico Einaudi, Daniel Hope, I Virtuosi Italiani"
ENTJ,You Get Me So High,The Neighbourhood
ENTJ,I Was Never There,"The Weeknd, Gesaffelstein"
ENTJ,Ain't Shit,Doja Cat
ENTJ,Outro,M83
ENTJ,Heartbeat,Childish Gambino
ENTJ,Reflections,The Neighbourhood
ENTJ,Leaving Tonight,The Neighbourhood
ENTJ,Bang Bang Bang Bang,Sohodolls
ENTJ,Womanizer,Britney Spears
ENTJ,Better Than Revenge,Taylor Swift
ENTJ,Washing Machine Heart,Mitski
ENTJ,successful,Ariana Grande
